major minor  #blocks  name

 179        0   30535680 mmcblk0
 179        1      81920 mmcblk0p1
 179        2       1024 mmcblk0p2
 179        3        128 mmcblk0p3
 179        4        128 mmcblk0p4
 179        5          1 mmcblk0p5
 179        6       1024 mmcblk0p6
 179        7        128 mmcblk0p7
 179        8        256 mmcblk0p8
 179        9        256 mmcblk0p9
 179       10          1 mmcblk0p10
 179       11       1536 mmcblk0p11
 179       12          1 mmcblk0p12
 179       13          8 mmcblk0p13
 179       14       1536 mmcblk0p14
 179       15       1536 mmcblk0p15
 179       16       1024 mmcblk0p16
 179       17       1024 mmcblk0p17
 179       18         96 mmcblk0p18
 179       19       1024 mmcblk0p19
 179       20       1024 mmcblk0p20
 179       21        500 mmcblk0p21
 179       22        500 mmcblk0p22
 179       23        512 mmcblk0p23
 179       24        512 mmcblk0p24
 179       25      33424 mmcblk0p25
 179       26       5120 mmcblk0p26
 179       27       5120 mmcblk0p27
 179       28      65536 mmcblk0p28
 179       29      65536 mmcblk0p29
 179       30    3145728 mmcblk0p30
 179       31    1572864 mmcblk0p31
 259        0      32768 mmcblk0p32
 259        1       1024 mmcblk0p33
 259        2        512 mmcblk0p34
 259        3          1 mmcblk0p35
 259        4        512 mmcblk0p36
 259        5   25095663 mmcblk0p37
 179       32       4096 mmcblk0rpmb
 179       64   62367744 mmcblk1
 179       65   62366720 mmcblk1p1
